timestep,throughput_tp,throughput_fair,throughput_minrate,proportional_fair_tp,proportional_fair_fair,proportional_fair_minrate,max_min_tp,max_min_fair,max_min_minrate,jain_tp,jain_fair,jain_minrate,hpf_tp,hpf_fair,hpf_minrate,adaptive_hpf_tp,adaptive_hpf_fair,adaptive_hpf_minrate,weighted_tf_tp,weighted_tf_fair,weighted_tf_minrate,hpf_switch_cost_tp,hpf_switch_cost_fair,hpf_switch_cost_minrate,adaptive_threshold_tp,adaptive_threshold_fair,adaptive_threshold_minrate,channel_predictor_tp,channel_predictor_fair,channel_predictor_minrate
47,401.76,0.9821,40.78,384.55,0.9819,38.94,401.76,0.9821,40.78,384.55,0.9819,38.94,384.55,0.9819,38.94,384.55,0.9819,38.94,384.55,0.9819,38.94,384.55,0.9819,38.94,384.55,0.9819,38.94,401.76,0.9821,40.78
48,405.35,0.9819,40.96,385.95,0.9823,39.26,405.35,0.9819,40.96,385.95,0.9823,39.26,385.95,0.9823,39.26,385.95,0.9823,39.26,385.95,0.9823,39.26,385.95,0.9823,39.26,385.95,0.9823,39.26,405.35,0.9819,40.96
49,409.77,0.9818,41.47,383.27,0.9825,38.94,409.77,0.9818,41.47,383.27,0.9825,38.94,383.27,0.9825,38.94,383.27,0.9825,38.94,383.27,0.9825,38.94,383.27,0.9825,38.94,383.27,0.9825,38.94,409.77,0.9818,41.47
50,409.27,0.9823,41.54,380.81,0.9827,38.91,409.27,0.9823,41.54,380.81,0.9827,38.91,380.81,0.9827,38.91,380.81,0.9827,38.91,380.81,0.9827,38.91,380.81,0.9827,38.91,380.81,0.9827,38.91,409.27,0.9823,41.54
51,407.75,0.9823,41.47,382.7,0.9818,38.74,407.75,0.9823,41.47,382.7,0.9818,38.74,382.7,0.9818,38.74,382.7,0.9818,38.74,382.7,0.9818,38.74,382.7,0.9818,38.74,382.7,0.9818,38.74,407.75,0.9823,41.47
52,409.66,0.9822,41.61,383.3,0.9823,38.82,409.66,0.9822,41.61,383.3,0.9823,38.82,383.3,0.9823,38.82,383.3,0.9823,38.82,383.3,0.9823,38.82,383.3,0.9823,38.82,383.3,0.9823,38.82,409.66,0.9822,41.61
53,408.46,0.9823,41.52,386.19,0.9815,39.14,408.46,0.9823,41.52,386.19,0.9815,39.14,386.19,0.9815,39.14,386.19,0.9815,39.14,386.19,0.9815,39.14,386.19,0.9815,39.14,386.19,0.9815,39.14,408.46,0.9823,41.52
54,407.04,0.9822,41.41,391.07,0.9818,39.47,407.04,0.9822,41.41,391.07,0.9818,39.47,391.07,0.9818,39.47,391.07,0.9818,39.47,391.07,0.9818,39.47,391.07,0.9818,39.47,391.07,0.9818,39.47,407.04,0.9822,41.41
55,405.14,0.9827,41.29,389.03,0.9825,39.55,405.14,0.9827,41.29,389.03,0.9825,39.55,389.03,0.9825,39.55,389.03,0.9825,39.55,389.03,0.9825,39.55,389.03,0.9825,39.55,389.03,0.9825,39.55,405.14,0.9827,41.29
56,405.21,0.9822,41.16,386.65,0.9825,39.48,405.21,0.9822,41.16,386.65,0.9825,39.48,386.65,0.9825,39.48,386.65,0.9825,39.48,386.65,0.9825,39.48,386.65,0.9825,39.48,386.65,0.9825,39.48,405.21,0.9822,41.16
57,406.67,0.9821,41.25,386.03,0.9824,39.36,406.67,0.9821,41.25,386.03,0.9824,39.36,386.03,0.9824,39.36,386.03,0.9824,39.36,386.03,0.9824,39.36,386.03,0.9824,39.36,386.03,0.9824,39.36,406.67,0.9821,41.25
58,405.7,0.9822,41.2,380.59,0.9826,38.86,405.7,0.9822,41.2,380.59,0.9826,38.86,380.59,0.9826,38.86,380.59,0.9826,38.86,380.59,0.9826,38.86,380.59,0.9826,38.86,380.59,0.9826,38.86,405.7,0.9822,41.2
59,401.98,0.9825,40.82,378.45,0.9823,38.55,401.98,0.9825,40.82,378.45,0.9823,38.55,378.45,0.9823,38.55,378.45,0.9823,38.55,378.45,0.9823,38.55,378.45,0.9823,38.55,378.45,0.9823,38.55,401.98,0.9825,40.82
60,402.4,0.9823,40.96,375.3,0.9828,38.19,402.4,0.9823,40.96,375.3,0.9828,38.19,375.3,0.9828,38.19,375.3,0.9828,38.19,375.3,0.9828,38.19,375.3,0.9828,38.19,375.3,0.9828,38.19,402.4,0.9823,40.96
61,400.95,0.9823,40.74,379.02,0.9817,38.23,400.95,0.9823,40.74,379.02,0.9817,38.23,379.02,0.9817,38.23,379.02,0.9817,38.23,379.02,0.9817,38.23,379.02,0.9817,38.23,379.02,0.9817,38.23,400.95,0.9823,40.74
62,402.0,0.9819,40.76,380.21,0.982,38.58,402.0,0.9819,40.76,380.21,0.982,38.58,380.21,0.982,38.58,380.21,0.982,38.58,380.21,0.982,38.58,380.21,0.982,38.58,380.21,0.982,38.58,402.0,0.9819,40.76
63,400.54,0.9822,40.66,381.89,0.9821,38.66,400.54,0.9822,40.66,381.89,0.9821,38.66,381.89,0.9821,38.66,381.89,0.9821,38.66,381.89,0.9821,38.66,381.89,0.9821,38.66,381.89,0.9821,38.66,400.54,0.9822,40.66
64,400.68,0.982,40.61,381.46,0.9825,38.86,400.68,0.982,40.61,381.46,0.9825,38.86,381.46,0.9825,38.86,381.46,0.9825,38.86,381.46,0.9825,38.86,381.46,0.9825,38.86,381.46,0.9825,38.86,400.68,0.982,40.61
65,401.43,0.9822,40.73,383.57,0.9816,38.83,401.43,0.9822,40.73,383.57,0.9816,38.83,383.57,0.9816,38.83,383.57,0.9816,38.83,383.57,0.9816,38.83,383.57,0.9816,38.83,383.57,0.9816,38.83,401.43,0.9822,40.73
66,404.15,0.9822,41.13,385.9,0.9822,39.25,404.15,0.9822,41.13,385.9,0.9822,39.25,385.9,0.9822,39.25,385.9,0.9822,39.25,385.9,0.9822,39.25,385.9,0.9822,39.25,385.9,0.9822,39.25,404.15,0.9822,41.13
67,403.62,0.9821,40.97,384.03,0.9825,39.11,403.62,0.9821,40.97,384.03,0.9825,39.11,384.03,0.9825,39.11,384.03,0.9825,39.11,384.03,0.9825,39.11,384.03,0.9825,39.11,384.03,0.9825,39.11,403.62,0.9821,40.97
68,402.26,0.9824,40.89,384.69,0.982,39.04,402.26,0.9824,40.89,384.69,0.982,39.04,384.69,0.982,39.04,384.69,0.982,39.04,384.69,0.982,39.04,384.69,0.982,39.04,384.69,0.982,39.04,402.26,0.9824,40.89
69,405.12,0.9819,41.03,384.84,0.9823,39.07,405.12,0.9819,41.03,384.84,0.9823,39.07,384.84,0.9823,39.07,384.84,0.9823,39.07,384.84,0.9823,39.07,384.84,0.9823,39.07,384.84,0.9823,39.07,405.12,0.9819,41.03
70,407.28,0.9822,41.45,383.84,0.982,38.8,407.28,0.9822,41.45,383.84,0.982,38.8,383.84,0.982,38.8,383.84,0.982,38.8,383.84,0.982,38.8,383.84,0.982,38.8,383.84,0.982,38.8,407.28,0.9822,41.45
71,405.93,0.9824,41.25,384.4,0.9824,39.05,405.93,0.9824,41.25,384.4,0.9824,39.05,384.4,0.9824,39.05,384.4,0.9824,39.05,384.4,0.9824,39.05,384.4,0.9824,39.05,384.4,0.9824,39.05,405.93,0.9824,41.25
72,405.72,0.982,41.07,384.22,0.9822,39.16,405.72,0.982,41.07,384.22,0.9822,39.16,384.22,0.9822,39.16,384.22,0.9822,39.16,384.22,0.9822,39.16,384.22,0.9822,39.16,384.22,0.9822,39.16,405.72,0.982,41.07
73,406.74,0.9822,41.24,384.57,0.9823,39.08,406.74,0.9822,41.24,384.57,0.9823,39.08,384.57,0.9823,39.08,384.57,0.9823,39.08,384.57,0.9823,39.08,384.57,0.9823,39.08,384.57,0.9823,39.08,406.74,0.9822,41.24
74,406.97,0.9822,41.28,387.43,0.9822,39.4,406.97,0.9822,41.28,387.43,0.9822,39.4,387.43,0.9822,39.4,387.43,0.9822,39.4,387.43,0.9822,39.4,387.43,0.9822,39.4,387.43,0.9822,39.4,406.97,0.9822,41.28
75,408.56,0.9822,41.42,388.32,0.982,39.41,408.56,0.9822,41.42,388.32,0.982,39.41,388.32,0.982,39.41,388.32,0.982,39.41,388.32,0.982,39.41,388.32,0.982,39.41,388.32,0.982,39.41,408.56,0.9822,41.42
76,410.16,0.982,41.52,383.38,0.9828,39.18,410.16,0.982,41.52,383.38,0.9828,39.18,383.38,0.9828,39.18,383.38,0.9828,39.18,383.38,0.9828,39.18,383.38,0.9828,39.18,383.38,0.9828,39.18,410.16,0.982,41.52
77,409.13,0.9824,41.77,385.09,0.9819,39.01,409.13,0.9824,41.77,385.09,0.9819,39.01,385.09,0.9819,39.01,385.09,0.9819,39.01,385.09,0.9819,39.01,385.09,0.9819,39.01,385.09,0.9819,39.01,409.13,0.9824,41.77
78,406.51,0.9825,41.35,387.63,0.982,39.43,406.51,0.9825,41.35,387.63,0.982,39.43,387.63,0.982,39.43,387.63,0.982,39.43,387.63,0.982,39.43,387.63,0.982,39.43,387.63,0.982,39.43,406.51,0.9825,41.35
